id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
46e7bbb2-a64b-4f9f-b0dd-4681fef83695,607.186.431-53,1978.93,58.71,0.0,,Estação Davi Miguel Pimenta,9,Beira Linha,Brito,SE,Brasil,pendente,2025-06-20
505e3ca1-e31d-457d-83fa-938cb65b5f8d,020.347.754-58,689.86,26.5,70.03,CUPOMA625F73A,Via Moraes,48,Conjunto Celso Machado,Nunes de Teixeira,AM,Brasil,cancelado,2025-06-24
2d467d22-7dca-4bf7-b8d9-7b3c47f24cd1,060.203.945-17,1840.02,86.04,298.67,CUPOM08736D5E,Residencial de Santos,41,Nova Gameleira,Casa Grande,AC,Brasil,pendente,2025-06-23
00041eda-abc7-4235-9dd6-1c03c0008746,311.994.811-19,324.54,51.98,0.0,,Pátio de Novais,410,Marieta 3ª Seção,Viana,PA,Brasil,pendente,2025-06-12
618139a8-7cd3-435b-958e-a1573c12c0a9,047.830.863-89,285.67,80.89,0.0,,Vereda de Machado,42,Vila Antena,Cavalcanti,PI,Brasil,pendente,2025-06-16
62a78b6b-6583-489a-ba04-f8490ece10da,498.408.641-80,1144.35,11.09,0.0,,Distrito Mathias Cavalcanti,96,Nova Granada,Moreira das Flores,SC,Brasil,pago,2025-06-23
535454a8-c5a7-461e-a915-dbb87ac8d728,872.307.700-96,1292.09,78.38,119.93,CUPOMB97A7441,Largo Rafaela Lima,2,Vila Santo Antônio,Leão,RO,Brasil,pendente,2025-06-22
0404a107-39c0-4851-a18a-0f2b82e5400b,428.928.827-46,266.65,9.71,0.0,,Pátio de Moura,52,Apolonia,Campos das Flores,PB,Brasil,entregue,2025-06-13
22f0700b-41c4-43b5-8b13-c92ea180542b,622.501.273-04,970.33,17.52,0.0,,Vereda de Leão,9,São José,Vasconcelos,AL,Brasil,entregue,2025-06-17
9434f4e6-b885-4faf-8b18-b3cc1af2f4d3,498.408.641-80,497.38,79.71,0.0,,Praça Sales,5,Mirante,Ribeiro do Norte,MG,Brasil,cancelado,2025-06-14
e691b59d-2853-4a90-9bc3-8c9703c83984,126.280.443-04,768.52,12.8,150.25,CUPOM8C2F7A81,Trevo Campos,469,Vila Maria,da Cunha,GO,Brasil,pago,2025-06-21
2856feea-e46c-42b7-abd7-f6cccbe4e02f,837.418.724-40,1934.43,45.25,0.0,,Alameda Garcia,51,Palmares,da Luz,PI,Brasil,pago,2025-06-10
f7af6ff1-874e-4089-9dc4-42c0e39b24a5,622.501.273-04,1308.34,90.81,0.0,,Favela Fogaça,975,Jaraguá,Correia,RO,Brasil,pendente,2025-06-11
620043dc-1a66-4449-8bb4-b3796d37a652,020.347.754-58,890.13,85.14,0.0,,Conjunto Isabelly Sousa,106,São Tomaz,Leão da Prata,PR,Brasil,pendente,2025-06-17
69cad16b-b16c-4212-8711-7115e7f55259,498.408.641-80,674.98,35.64,0.0,,Chácara Nicole Nogueira,968,Vila Real 1ª Seção,Cunha do Norte,PE,Brasil,entregue,2025-06-20
7aac545a-6e62-485d-a0c4-178477b5f9bb,932.180.945-04,244.21,50.16,0.0,,Favela Pimenta,91,Liberdade,Correia Paulista,MT,Brasil,entregue,2025-06-19
28bcbdc8-7841-467e-83ff-3eedfc56e87a,496.956.546-52,741.56,28.51,138.95,CUPOMD7389867,Lago Daniela Barros,55,Serra Verde,da Cunha do Amparo,DF,Brasil,entregue,2025-06-21
ee0d37fb-f1d4-4e57-8c91-aa192571dbb4,932.180.945-04,562.87,24.03,0.0,,Distrito Lara Caldeira,50,Novo Glória,Nogueira,MT,Brasil,pago,2025-06-14
